TU-1	0	13	9	0	0	1	2	0	0
TU-9	0	87	48	0	3	3	0	0	0
Md-B	0	127	44	0	7	10	0	0	0
TU-18	0	154	23	0	23	16	1	0	3
TU-7	1	82	6	2	4	10	1	1	0
Md-A	0	97	21	0	1	2	0	0	0
U2-SSB	1	455	30	0	18	25	0	0	1
Md-H	0	369	32	2	1	15	1	2	0
TU-14	0	139	15	0	4	3	0	1	0
U4-7-12	5	1810	68	7	27	23	3	0	3
U4-4-6	0	525	21	4	4	3	0	0	0
Md-C	0	755	36	0	2	4	0	0	0
TU-15	0	144	2	0	0	2	0	0	0
TU-10	0	266	7	0	0	0	0	0	0
TU-3/TU-2	0	73	0	0	1	0	0	0	0
U4-2-3	0	778	6	1	1	2	0	0	0
TU-6	0	297	0	0	1	0	0	0	0
TU-17	1	213	3	0	0	1	0	4	0
Md-F	1	312	86	2	35	48	1	21	0
