Site Number	Neeley's Ferry Plain	Parkin Punctated	Barton Incised	Ranch Incised	Vernon Paul Applique	Fortune Noded	Manly Punctated	Tyronza Punctated	Bell Plain	Kent Incised	Rhodes Incised	Walls Engraved	Hull Engraved	Mound Place Incised (T)	Old Town Red 	Carson Red-on-Buff	Nodena Red and White	Avenue Polychrome	Hollywood White Slipped	Wallace Incised	Stokes Bayou Incised	Oliver Incised	Owens Punctated (T)	Leland Incised	Blanchard Incised (T)	Arcola Incised (T)
19-M-1	7306	83	82	0	0	0	0	0	441	0	0	3	1	0	11	0	2	0	0	0	5	0	0	394	12	54
11-N-4	5992	760	466	9	0	5	4	3	2	4	0	0	0	0	14	0	0	4	0	0	0	0	0	0	0	0
11-N-1	5468	865	311	35	4	17	0	0	80	12	0	0	0	0	53	0	0	6	0	0	0	0	0	0	0	0
19-N-1	5109	88	51	1	0	1	0	0	165	0	0	0	0	0	2	1	0	0	0	0	0	0	0	144	0	48
11-N-13	4237	425	212	0	1	17	0	0	12	2	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0
11-O-10	4056	395	207	4	0	16	9	0	8	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0
17-M-11	4122	22	162	0	1	0	0	1	11	4	7	0	0	0	6	1	4	0	0	0	3	2	1	11	0	0
13-P-1	627	244	28	16	0	1	0	0	2805	11	14	21	6	1	15	0	0	3	0	0	0	0	1	0	0	0
10-P-1	2753	39	57	0	0	0	0	0	577	4	0	0	6	1	22	0	0	24	0	0	0	0	6	0	0	0
10-P-4	2580	10	6	2	0	3	2	0	552	4	0	3	0	0	6	9	0	4	0	0	0	0	1	0	0	0
12-P-1	1193	97	33	7	0	1	0	0	1817	1	5	5	0	3	14	0	0	2	0	0	0	0	0	0	0	0
11-N-12	2913	20	87	1	0	7	0	0	10	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	0
10-Q-1	1299	5	3	3	1	0	0	0	1675	2	1	3	0	0	25	0	0	4	0	0	0	0	0	0	0	0
16-M-6	2519	5	135	0	0	0	0	1	28	2	9	1	0	3	22	3	14	0	5	0	11	1	1	4	0	0
20-M-1	1900	67	43	1	0	0	0	0	528	0	0	0	0	0	0	0	1	0	0	0	4	0	1	146	0	63
20-O-5	2133	40	59	0	0	0	0	0	90	0	0	2	0	0	9	0	1	0	0	0	0	0	13	235	1	70
11-N-9	1807	528	191	19	0	0	0	0	2	7	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
17-O-9	1831	65	227	4	1	0	0	3	48	0	2	0	2	0	21	4	4	0	2	0	0	2	1	11	2	0
13-N-21	1537	268	36	3	1	3	0	0	68	8	4	0	0	1	70	0	0	0	0	0	0	0	0	0	0	0
17-N-1	1641	34	65	1	0	0	0	3	79	0	39	1	0	1	9	1	4	0	1	0	9	6	0	4	3	2
17-P-2	1689	2	4	0	0	0	0	0	2	0	0	0	0	3	12	0	0	0	0	0	0	0	0	1	0	0
19-L-1	1477	11	15	0	0	0	0	0	170	0	0	0	0	2	0	0	0	0	0	0	0	0	0	16	0	0
17-K-3	1331	12	13	0	0	0	0	0	0	0	2	0	0	0	54	0	5	0	0	85	0	4	0	1	0	0
13-O-10	671	61	67	2	0	0	0	1	589	6	2	8	0	0	34	8	21	0	16	0	0	0	0	0	0	0
12-N-3	1123	154	62	1	1	1	0	0	35	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
20-M-2	1046	17	27	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	1	61	1	31
16-N-10	911	24	92	1	0	1	0	0	136	0	6	1	4	0	38	5	7	2	3	0	8	0	2	4	0	0
16-N-2	1086	11	30	0	0	0	0	0	6	0	0	0	0	0	33	0	0	0	1	2	3	0	1	2	0	0
15-O-1	888	7	47	2	0	0	0	1	192	0	0	0	8	0	6	0	6	0	5	0	0	0	0	2	0	0
20-O-1	857	15	7	0	0	0	0	0	103	0	0	0	0	0	15	0	10	0	0	0	0	0	0	127	10	13
13-O-11	655	35	51	0	0	0	0	0	314	14	1	2	1	0	12	0	0	12	0	0	0	0	0	0	0	0
17-K-1	922	1	6	0	0	0	0	1	19	0	0	1	0	0	30	0	1	1	1	53	1	0	0	6	0	0
13-N-4	448	71	45	3	0	0	0	0	337	22	0	4	0	0	80	0	0	16	0	0	0	0	0	0	0	0
12-O-5	814	91	27	1	0	3	0	0	56	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
19-N-3	976	7	6	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2
15-N-5	572	5	65	0	0	1	0	0	312	0	0	0	2	0	13	6	10	3	6	0	0	0	2	1	0	0
15-N-6	480	26	63	10	0	0	0	4	312	3	0	0	8	0	24	3	6	0	2	0	0	0	2	2	0	0
13-P-8	232	83	16	18	0	0	0	0	506	8	3	17	3	1	37	0	0	6	0	0	0	0	0	0	0	0
13-N-16	672	42	46	1	0	0	0	0	75	10	0	3	0	0	67	0	0	2	0	0	0	0	0	0	0	0
18-M-4	757	13	71	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	6	0	0	27	0	0
16-O-2	784	2	42	0	0	0	0	0	62	0	0	0	0	0	3	1	5	0	0	0	2	0	0	0	0	0
13-P-11	212	73	9	6	0	0	0	0	528	2	3	6	2	0	6	0	0	0	0	0	0	0	0	0	0	0
16-L-6	708	3	6	0	0	0	0	0	0	1	2	0	0	0	43	0	2	0	0	53	0	1	0	0	0	0
13-O-5	370	128	77	3	0	0	0	0	174	32	2	2	0	0	8	0	0	2	0	0	0	0	0	0	0	0
13-P-10	125	30	0	12	2	0	0	0	542	15	7	12	1	0	12	0	0	0	0	0	0	0	0	0	0	0
13-N-15	514	106	31	0	0	1	0	0	60	3	2	0	0	0	18	0	0	1	0	0	0	0	0	1	0	0
12-N-4	486	48	71	0	0	1	0	0	6	6	1	0	0	0	100	0	0	2	0	0	0	0	0	0	0	0
11-O-4	443	206	45	3	2	0	0	0	9	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
11-N-15	485	143	53	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
14-O-2	369	18	63	1	0	0	0	0	144	3	1	2	0	0	39	0	0	14	0	0	0	0	3	0	0	0
13-N-7	433	70	49	0	0	0	0	0	40	1	0	2	0	0	57	0	0	2	0	0	0	0	0	0	0	0
14-O-8	377	6	48	0	0	0	0	0	183	2	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0
19-L-6	304	21	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
16-N-2	537	6	8	0	0	0	0	0	30	0	0	0	0	0	22	0	0	5	0	0	0	0	0	0	0	0
16-N-6	467	9	35	0	1	0	0	0	11	1	2	0	0	0	16	3	4	0	1	1	1	0	0	0	1	0
16-N-6	467	9	35	0	1	0	0	0	11	1	2	0	0	0	16	0	0	8	0	1	0	0	0	1	0	0
17-N-11	488	5	20	0	0	0	0	0	11	0	3	0	0	0	3	0	1	0	3	0	1	0	0	0	0	0
12-N-5	505	5	9	0	0	0	0	0	5	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
13-O-4	450	1	5	0	0	0	0	0	62	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
13-N-11	373	11	28	2	0	0	0	0	49	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0
15-N-3	437	36	14	0	0	0	0	1	3	0	0	0	0	0	12	2	1	0	0	0	0	0	0	0	0	0
13-N-14	427	27	0	0	0	0	0	0	26	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
17-K-7	407	60	8	0	0	1	0	0	8	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
18-N-1	397	26	44	0	0	0	0	0	8	2	0	0	0	0	2	0	1	0	0	0	0	0	0	6	0	0
16-M-2	435	6	13	0	0	0	0	0	5	0	1	0	0	0	3	0	2	0	0	1	13	1	1	0	1	0
12-P-2	131	30	11	1	1	1	0	0	288	2	5	4	2	0	5	0	0	0	0	0	0	0	0	0	0	0
13-O-6	431	6	24	0	0	0	0	0	15	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
18-N-7	446	6	6	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0
11-P-2	225	5	1	0	0	0	0	0	222	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
13-N-5	313	35	9	0	0	0	0	0	64	2	0	0	0	0	31	0	0	2	0	0	0	0	0	0	0	0
17-O-1	434	2	3	0	0	0	0	0	0	0	0	0	0	0	15	0	1	0	0	0	0	1	0	0	0	0
12-O-1	351	1	19	0	0	0	0	0	78	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0
12-O-2	247	40	11	0	0	0	0	0	132	6	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15-M-1	398	32	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
17-N-2	390	3	17	0	0	0	0	0	14	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0
16-M-1	411	3	5	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	1	1	0	0
13-P-7	58	18	6	6	0	0	0	0	315	8	1	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0
16-M-5	370	5	12	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
17-N-9	330	8	40	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
