Seriation_Solution Mean_Distance Solution_Size
3880 0 4
11342 0 4
11341 0 4
3889 0 3
1981 0 3
3641 0 3
3895 0 3
11062 0 3
3859 0 3
2675 0 3
8361 0 3
9824 0 3
3036 0 3
11362 0 3
10358 0 3
10756 0 3
11370 0 3
2234 0 3
1405 0 3
11319 0 3
11331 0 3
2465 0 3
729 0 3
6798 0 3
3892 0 3
3719 0 3
3885 0 3
3874 0 3
3785 0 3
3325 0 3
5512 0 3
10927 0 3
11368 0 3
11166 0 3
3867 0 3
3550 0 3
9147 0 3
11306 0 3
11355 0 3
11371 0 3
8766 0 3
3894 0 3
7896 0 3
10302 1600.12499511757 3
3291 1600.12499511757 3
4649 2868.73648144963 3
286 2868.73648144963 3
2223 3190.43884128814 3
8344 3190.43884128814 3
6836 4007.94336287328 3
1424 4007.94336287328 3
10861 4626.08257600316 3
3605 4626.08257600316 3
10994 6745.85798842519 3
9488 6745.85798842519 3
3681 6745.85798842519 3
2859 6745.85798842519 3
3607 7205.75464472667 3
3618 7205.75464472667 3
10864 7205.75464472667 3
10881 7205.75464472667 3
2310 7364.30580570905 3
8493 7364.30580570905 3
1329 7514.30063279345 3
1340 7514.30063279345 3
6666 7514.30063279345 3
6685 7514.30063279345 3
4575 10877.0805825828 3
253 10877.0805825828 3
1057 11069.6702751256 3
6163 11069.6702751256 3
11451 11111.0224552019 3
3940 11111.0224552019 3
3223 11323.3762632883 3
10173 11323.3762632883 3
3243 12536.6821767165 3
10208 12536.6821767165 3
7762 13138.5882042174 3
1900 13138.5882042174 3
3759 13291.4596640098 3
11125 13291.4596640098 3
9973 13367.7798081806 3
9989 13367.7798081806 3
3124 13367.7798081806 3
3113 13367.7798081806 3
10420 13626.2283849934 3
3365 13626.2283849934 3
4626 13745.8170640324 4
4625 13745.8170640324 4
275 13745.8170640324 4
848 14026.9348041545 3
5734 14026.9348041545 3
405 14321.90078167 3
4895 14321.90078167 3
7855 14391.6260373872 3
1958 14391.6260373872 3
10652 14554.5490139681 3
3499 14554.5490139681 3
7688 14763.4311730031 4
1865 14763.4311730031 4
7689 14763.4311730031 4
11643 14843.4928504042 3
4056 14843.4928504042 3
2730 15640.4354159339 3
9243 15640.4354159339 3
1080 15740.1683599636 4
6216 15740.1683599636 4
6217 15740.1683599636 4
3455 16227.2165512142 3
10578 16227.2165512142 3
2517 17821.52911509 4
8855 17821.52911509 4
8854 17821.52911509 4
6113 18267.7557461227 3
1033 18267.7557461227 3
3975 18542.525421312 3
11507 18542.525421312 3
9739 18673.8033200143 4
2989 18673.8033200143 4
9738 18673.8033200143 4
1945 18883.061192508 3
1934 18883.061192508 3
7813 18883.061192508 3
7831 18883.061192508 3
11265 19227.1687983437 3
3840 19227.1687983437 3
5424 19600.2201730874 4
5423 19600.2201730874 4
682 19600.2201730874 4
1307 19618.3693766837 3
6616 19618.3693766837 3
4200 19854.5286052672 4
4201 19854.5286052672 4
70 19854.5286052672 4
11508 20197.1917107305 3
3976 20197.1917107305 3
9894 20732.8845074678 3
3076 20732.8845074678 3
9238 21446.8482532982 3
2727 21446.8482532982 3
1669 21484.5293176276 3
1658 21484.5293176276 3
7305 21484.5293176276 3
7285 21484.5293176276 3
385 21555.0744837498 3
4853 21555.0744837498 3
4827 21632.9675301001 4
4826 21632.9675301001 4
370 21632.9675301001 4
3445 21844.298684096 4
10564 21844.298684096 4
10563 21844.298684096 4
3500 21844.298684096 3
10653 21844.298684096 3
1459 21972.0562760976 3
6891 21972.0562760976 3
2289 22395.2727154639 3
8454 22395.2727154639 3
6060 22573.0784657446 4
6061 22573.0784657446 4
999 22573.0784657446 4
8860 22954.0066219386 4
8859 22954.0066219386 4
2520 22954.0066219386 4
11648 23081.0502360703 4
11649 23081.0502360703 4
4060 23081.0502360703 4
6892 23456.9563456131 3
1460 23456.9563456131 3
2664 23512.7624918894 3
9130 23512.7624918894 3
8968 23865.374499471 3
2577 23865.374499471 3
8596 23967.738733556 3
2367 23967.738733556 3
11642 24263.9650510793 3
4055 24263.9650510793 3
3479 24283.0238026486 3
10620 24283.0238026486 3
11261 24513.6553781765 4
11260 24513.6553781765 4
3837 24513.6553781765 4
3384 24706.9896385618 3
10452 24706.9896385618 3
3395 24706.9896385618 3
10468 24706.9896385618 3
2400 24857.9648603823 3
8656 24857.9648603823 3
8637 24857.9648603823 3
2389 24857.9648603823 3
8448 24879.758841275 3
2286 24879.758841275 3
6713 25052.0581390033 3
1355 25052.0581390033 3
1344 25052.0581390033 3
6690 25052.0581390033 3
2492 25981.1104458605 3
8811 25981.1104458605 3
2079 26215.5469139974 3
8072 26215.5469139974 3
1250 26656.063043893 3
6514 26656.063043893 3
7434 27044.0547995303 3
1732 27044.0547995303 3
7738 27165.5230083718 4
7737 27165.5230083718 4
1889 27165.5230083718 4
3937 27242.1970479622 3
11446 27242.1970479622 3
7957 27372.9824827329 3
2015 27372.9824827329 3
3604 27502.6253292299 3
10860 27502.6253292299 3
8682 27509.7891667675 3
2404 27509.7891667675 3
8663 27509.7891667675 3
