Assemblage	Type_1	Type_2	Type_3	Type_4	Type_5	Type_6	Type_7
Assemblage-1	0	41	0	8	0	51	0
Assemblage-2	0	37	0	9	0	54	0
Assemblage-3	0	35	0	10	0	55	0
Assemblage-4	5	30	0	15	0	50	0
Assemblage-5	10	25	0	20	0	45	0
Assemblage-6	10	25	0	25	0	40	0
Assemblage-7	15	20	0	30	0	35	0
Assemblage-8	20	15	0	35	0	30	0
Assemblage-9	25	10	0	40	0	25	0
Assemblage-10	25	5	0	45	0	20	5
Assemblage-11	30	0	0	45	0	15	10
Assemblage-12	30	0	0	45	0	10	15
Assemblage-13	30	0	0	40	0	10	20
Assemblage-14	25	0	5	40	0	5	25
Assemblage-15	20	0	10	35	5	0	30
Assemblage-16	15	0	15	30	12	0	28
Assemblage-17	10	0	20	30	15	0	25
Assemblage-18	5	0	25	25	23	0	22
